cat1	cat2	cat3	brand	sku_size	product_id
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20020
HC	ROPA LAVADO	Polvo	LIMPIEX	5000	20030
HC	ROPA LAVADO	Polvo	LIMPIEX	3000	20011
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20035
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20031
HC	ROPA LAVADO	Polvo	LIMPIEX	3000	20016
HC	ROPA LAVADO	Liquido	LIMPIEX	400	20439
HC	ROPA LAVADO	Liquido	LIMPIEX	400	20731
HC	ROPA LAVADO	Liquido	LIMPIEX	400	20493
HC	ROPA LAVADO	Polvo	LIMPIEX	420	20814
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20041
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20050
HC	VAJILLA	Opaco	LIMPIEX	300	20345
HC	VAJILLA	Opaco	LIMPIEX	500	20546
HC	PROFESIONAL	Opaco	LIMPIEX	5000	20576
HC	VAJILLA	Opaco	LIMPIEX	300	20233
HC	VAJILLA	Opaco	LIMPIEX	500	20361
HC	VAJILLA	Cristalino	LIMPIEX	450	20286
HC	VAJILLA	Cristalino	LIMPIEX	300	20442
HC	VAJILLA	Cristalino	LIMPIEX	500	20548
HC	VAJILLA	Cristalino	LIMPIEX	300	20148
HC	VAJILLA	Cristalino	LIMPIEX	500	20162
HC	VAJILLA	Cristalino	LIMPIEX	750	20620
PC	DEOS	Aero	COLBERT	90	20811
PC	DEOS	Aero	COLBERT	90	20866
PC	DEOS	Aero	COLBERT	89	20844
PC	DEOS	Aero	COLBERT	100	20818
PC	DEOS	Aero	COLBERT	110	21061
PC	DEOS	Aero	COLBERT	100	20481
PC	PIEL2	Gel Ducha	COLBERT	200	21128
PC	CABELLO	Styling	COLBERT	75	21176
PC	CABELLO	Styling	COLBERT	75	21227
PC	CABELLO	Styling	COLBERT	75	21164
PC	DEOS	Aero	COLBERT	90	20539
PC	DEOS	Aero	COLBERT	90	20898
PC	DEOS	Aero	COLBERT	90	20599
PC	DEOS	Aero	COLBERT	90	20972
PC	DEOS	Aero	COLBERT	90	20920
PC	DEOS	Aero	COLBERT	90	20912
PC	DEOS	Aero	COLBERT	90	20904
PC	DEOS	Aero	COLBERT	100	20267
PC	DEOS	Aero	COLBERT	100	20590
PC	DEOS	Aero	COLBERT	100	20367
PC	DEOS	Aero	COLBERT	100	20321
PC	DEOS	Aero	COLBERT	100	20452
PC	DEOS	Aero	COLBERT	100	20496
PC	DEOS	Aero	COLBERT	100	20386
PC	DEOS	Aero	COLBERT	100	20799
PC	DEOS	Aero	COLBERT	100	20566
PC	DEOS	Aero	COLBERT	100	20263
PC	DEOS	Aero	COLBERT	110	21078
PC	DEOS	Aero	COLBERT	90	20536
PC	DEOS	Aero	COLBERT	110	21106
PC	DEOS	Aero	COLBERT	100	20719
PC	DEOS	NoAero	COLBERT	50	21156
PC	DEOS	NoAero	COLBERT	55	21027
PC	DEOS	NoAero	COLBERT	55	21071
PC	DEOS	NoAero	COLBERT	50	21196
PC	PIEL2	Gel Ducha	COLBERT	250	21068
PC	PIEL2	Gel Ducha	COLBERT	250	21051
PC	CABELLO	Styling	COLBERT	170	21034
PC	CABELLO	Styling	COLBERT	170	21040
FOODS	SOPAS Y CALDOS	PurePapas	SALSATI	100	20460
FOODS	SOPAS Y CALDOS	Salsas	SALSATI	350	20237
FOODS	SOPAS Y CALDOS	Salsas	SALSATI	350	20186
FOODS	SOPAS Y CALDOS	Salsas	SALSATI	350	20229
FOODS	SOPAS Y CALDOS	Salsas	SALSATI	350	20760
FOODS	SOPAS Y CALDOS	Salsas	SALSATI	350	20723
HC	VAJILLA	Gel	MUSCULO	900	20185
HC	VAJILLA	Gel	MUSCULO	300	20144
HC	VAJILLA	Gel	MUSCULO	500	20124
HC	VAJILLA	Gel	MUSCULO	300	20070
HC	VAJILLA	Gel	MUSCULO	500	20042
HC	VAJILLA	Gel	MUSCULO	750	20202
HC	VAJILLA	Gel	MUSCULO	300	20103
HC	VAJILLA	Gel	MUSCULO	500	20063
HC	VAJILLA	Gel	MUSCULO	750	20183
HC	PROFESIONAL	Gel	MUSCULO	5000	20886
HC	VAJILLA	Gel	MUSCULO	450	20073
HC	VAJILLA	Gel	MUSCULO	300	20412
HC	VAJILLA	Gel	MUSCULO	500	20374
HC	VAJILLA	Gel	MUSCULO	750	20564
HC	VAJILLA	Gel	MUSCULO	300	20477
HC	VAJILLA	Gel	MUSCULO	500	20408
HC	VAJILLA	Gel	MUSCULO	750	20712
HC	VAJILLA	Gel	MUSCULO	900	20165
HC	VAJILLA	Gel	MUSCULO	450	20112
HC	VAJILLA	Gel	MUSCULO	300	20485
HC	VAJILLA	Gel	MUSCULO	500	20376
HC	VAJILLA	Gel	MUSCULO	750	20595
HC	PROFESIONAL	Antigrasa	MUSCULO	5000	20395
HC	HOGAR	Antigrasa	MUSCULO	900	20068
HC	HOGAR	Antigrasa	MUSCULO	450	20027
HC	HOGAR	Antigrasa	MUSCULO	500	20246
HC	HOGAR	Esponja	MUSCULO	1	21212
HC	HOGAR	Esponja	MUSCULO	1	21184
HC	HOGAR	Esponja	MUSCULO	1	21155
HC	HOGAR	Paño	MUSCULO	3	20803
HC	HOGAR	Paño	MUSCULO	1	20941
HC	HOGAR	Paño	MUSCULO	1	21167
HC	HOGAR	Paño	MUSCULO	1	21195
HC	HOGAR	Baño	MUSCULO	900	20137
HC	HOGAR	Baño	MUSCULO	450	20076
HC	HOGAR	Baño	MUSCULO	500	20357
HC	PROFESIONAL	Baño	MUSCULO	5000	20604
HC	PROFESIONAL	Cloro	MUSCULO	5000	20916
HC	HOGAR	Cremoso	MUSCULO	375	20205
HC	HOGAR	Cremoso	MUSCULO	750	20092
HC	HOGAR	Cremoso	MUSCULO	375	20166
HC	HOGAR	Cremoso	MUSCULO	750	20065
HC	HOGAR	Cremoso	MUSCULO	375	20057
HC	HOGAR	Cremoso	MUSCULO	750	20013
HC	HOGAR	Cremoso	MUSCULO	150	21095
HC	HOGAR	Cremoso	MUSCULO	750	20163
HC	PROFESIONAL	Cremoso	MUSCULO	3000	20313
HC	HOGAR	Cremoso	MUSCULO	375	20209
HC	HOGAR	Cremoso	MUSCULO	750	20114
HC	HOGAR	Cremoso	MUSCULO	375	20312
HC	HOGAR	Gel	MUSCULO	250	20785
HC	HOGAR	Gel	MUSCULO	500	20593
HC	HOGAR	Gel	MUSCULO	500	20160
HC	HOGAR	Gel	MUSCULO	500	20293
HC	PROFESIONAL	Gel	MUSCULO	2000	20479
HC	HOGAR	Baño	MUSCULO	450	20281
HC	HOGAR	Baño	MUSCULO	500	20653
HC	HOGAR	Gel	MUSCULO	250	20681
HC	HOGAR	Gel	MUSCULO	500	20510
HC	HOGAR	PISOS	MUSCULO	750	20341
HC	PROFESIONAL	PISOS	MUSCULO	5000	20845
HC	PROFESIONAL	PISOS	MUSCULO	5000	20953
HC	VAJILLA	Cremoso	MUSCULO	300	20816
HC	HOGAR	PISOS	MUSCULO	2000	20206
HC	HOGAR	Paño	MUSCULO	1	21048
HC	HOGAR	PISOS	MUSCULO	750	20201
HC	HOGAR	PISOS	MUSCULO	450	20254
HC	HOGAR	PISOS	MUSCULO	750	20478
HC	HOGAR	PISOS	MUSCULO	450	20390
HC	HOGAR	PISOS	MUSCULO	750	20415
HC	HOGAR	PISOS	MUSCULO	450	20319
HC	HOGAR	PISOS	MUSCULO	450	20447
HC	HOGAR	PISOS	MUSCULO	750	20508
HC	HOGAR	PISOS	MUSCULO	750	20836
HC	HOGAR	PISOS	MUSCULO	450	20763
HC	HOGAR	PISOS	MUSCULO	15	21203
HC	HOGAR	PISOS	MUSCULO	750	20197
HC	HOGAR	Baño	MUSCULO	450	20366
HC	HOGAR	Antigrasa	MUSCULO	450	20308
HC	HOGAR	Paño	MUSCULO	1	21180
HC	HOGAR	Baño	MUSCULO	450	20253
HC	HOGAR	Lustramuebles	MUSCULO	375	20889
HC	HOGAR	Lustramuebles	MUSCULO	400	20834
HC	HOGAR	Vidrios	MUSCULO	900	20129
HC	HOGAR	Vidrios	MUSCULO	450	20053
HC	HOGAR	Vidrios	MUSCULO	500	20219
HC	PROFESIONAL	Vidrios	MUSCULO	5000	20638
HC	HOGAR	Vidrios	MUSCULO	500	20543
PC	CABELLO	ACONDICIONADOR	CAPILATIS	400	20893
PC	CABELLO	ACONDICIONADOR	CAPILATIS	200	21079
PC	CABELLO	ACONDICIONADOR	CAPILATIS	400	20824
PC	CABELLO	SHAMPOO	CAPILATIS	200	20656
PC	CABELLO	SHAMPOO	CAPILATIS	400	20560
PC	CABELLO	SHAMPOO	CAPILATIS	200	20606
PC	CABELLO	SHAMPOO	CAPILATIS	400	20482
PC	CABELLO	SHAMPOO	CAPILATIS	200	20579
PC	CABELLO	SHAMPOO	CAPILATIS	400	20470
PC	CABELLO	SHAMPOO	CAPILATIS	200	20745
PC	CABELLO	SHAMPOO	CAPILATIS	400	20910
PC	CABELLO	SHAMPOO	CAPILATIS	400	20698
PC	CABELLO	SHAMPOO	CAPILATIS	200	20713
PC	CABELLO	SHAMPOO	CAPILATIS	400	20596
PC	DENTAL	CREMA	COLGATE	180	20751
PC	DENTAL	CREMA	COLGATE	90	20585
PC	DENTAL	CREMA	COLGATE	180	20742
PC	DENTAL	CREMA	COLGATE	90	20563
PC	DENTAL	CREMA	COLGATE	90	20612
PC	DENTAL	CREMA	COLGATE	90	20699
PC	DENTAL	CREMA	COLGATE	90	20883
PC	DENTAL	CREMA	COLGATE	90	20985
PC	DENTAL	CREMA	COLGATE	90	20956
PC	DENTAL	CREMA	COLGATE	90	20906
PC	DENTAL	Cepilllo	COLGATE	1	21201
PC	DENTAL	Cepilllo	COLGATE	2	21118
PC	DENTAL	Cepilllo	COLGATE	2	21194
PC	DENTAL	Cepilllo	COLGATE	2	21207
HC	PROFESIONAL	SUAVIZANTE	VIVERE	2000	21216
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	450	20705
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20666
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20737
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20304
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	450	20473
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20588
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	450	20724
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	450	20978
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20752
HC	ROPA ACONDICIONADOR	Concentrado	VIVERE	1000	20881
HC	ROPA ACONDICIONADOR	Diluido	VIVERE	2000	20371
HC	ROPA ACONDICIONADOR	Diluido	VIVERE	900	20055
HC	ROPA ACONDICIONADOR	Diluido	VIVERE	900	20217
HC	ROPA ACONDICIONADOR	Diluido	VIVERE	3000	20056
HC	PROFESIONAL	SUAVIZANTE	VIVERE	5000	20513
HC	ROPA ACONDICIONADOR	Diluido	VIVERE	4000	20190
PC	CABELLO	Acond Mujer	NIVEA	200	20876
PC	CABELLO	Acond Mujer	NIVEA	400	20703
PC	CABELLO	Acond Mujer	NIVEA	750	20738
PC	CABELLO	Acond Mujer	NIVEA	200	20434
PC	CABELLO	Acond Mujer	NIVEA	400	20290
PC	CABELLO	Acond Mujer	NIVEA	200	20571
PC	CABELLO	Acond Mujer	NIVEA	400	20368
PC	CABELLO	Acond Mujer	NIVEA	200	20401
PC	CABELLO	Acond Mujer	NIVEA	400	20256
PC	CABELLO	Acond Mujer	NIVEA	400	20748
PC	CABELLO	Acond Mujer	NIVEA	750	20469
PC	CABELLO	Acond Mujer	NIVEA	750	20909
PC	CABELLO	Acond Mujer	NIVEA	200	20955
PC	CABELLO	Acond Mujer	NIVEA	400	20869
PC	CABELLO	Acond Mujer	NIVEA	400	20727
PC	CABELLO	Acond Mujer	NIVEA	10	20879
PC	CABELLO	Acond Mujer	NIVEA	750	20833
PC	CABELLO	Acond Mujer	NIVEA	200	20330
PC	CABELLO	Acond Mujer	NIVEA	400	20212
PC	CABELLO	Acond Mujer	NIVEA	750	20335
PC	CABELLO	Acond Mujer	NIVEA	930	21175
PC	CABELLO	Acond Mujer	NIVEA	200	20534
PC	CABELLO	Acond Mujer	NIVEA	400	20444
PC	CABELLO	Acond Mujer	NIVEA	750	20766
PC	CABELLO	Acond Mujer	NIVEA	200	20867
PC	CABELLO	Acond Mujer	NIVEA	400	20734
PC	CABELLO	Acond Mujer	NIVEA	750	20934
PC	CABELLO	Acond Mujer	NIVEA	400	20662
PC	CABELLO	Acond Mujer	NIVEA	400	20417
PC	CABELLO	Acond Mujer	NIVEA	180	20631
PC	CABELLO	Acond Mujer	NIVEA	200	20815
PC	CABELLO	Acond Mujer	NIVEA	400	20343
PC	CABELLO	Acond Mujer	NIVEA	750	20915
PC	CABELLO	Acond Mujer	NIVEA	400	20673
PC	DEOS	Aero	NIVEA	90	20946
PC	DEOS	Aero	NIVEA	100	20535
PC	DEOS	Aero	NIVEA	55	20901
PC	DEOS	Aero	NIVEA	55	20768
PC	DEOS	Aero	NIVEA	100	20856
PC	CABELLO	Acond Bebe	NIVEA	200	20783
PC	PIEL2	Jabon Bebe	NIVEA	180	20793
PC	PIEL2	Jabon Bebe	NIVEA	180	20831
PC	CABELLO	Shampoo Bebe	NIVEA	200	20853
PC	CABELLO	Shampoo Bebe	NIVEA	400	21026
PC	CABELLO	Shampoo Bebe	NIVEA	200	20981
PC	CABELLO	Shampoo Bebe	NIVEA	400	21054
PC	CABELLO	Shampoo Bebe	NIVEA	200	20658
PC	CABELLO	Shampoo Bebe	NIVEA	400	20622
PC	PIEL2	Toallitas Bebe	NIVEA	50	20642
PC	PIEL2	Toallitas Bebe	NIVEA	50	20651
PC	DEOS	Aero	NIVEA	65	21087
PC	DEOS	Aero	NIVEA	50	21126
PC	CABELLO	ACONDICIONADOR	NIVEA	400	20769
PC	CABELLO	ACONDICIONADOR	NIVEA	200	20943
PC	CABELLO	ACONDICIONADOR	NIVEA	180	20340
PC	CABELLO	ACONDICIONADOR	NIVEA	200	20598
PC	CABELLO	ACONDICIONADOR	NIVEA	400	20610
PC	PIEL1	Cuerpo	NIVEA	400	20971
PC	PIEL1	Cara	NIVEA	140	21276
PC	PIEL1	Cuerpo	NIVEA	400	21069
PC	PIEL1	Cuerpo	NIVEA	400	20809
PC	PIEL1	Cuerpo	NIVEA	200	21039
PC	PIEL1	Cuerpo	NIVEA	400	20933
PC	PIEL1	Cuerpo	NIVEA	200	20830
PC	PIEL1	Cuerpo	NIVEA	400	20696
PC	PIEL1	Cuerpo	NIVEA	200	20963
PC	PIEL1	Cuerpo	NIVEA	400	20959
PC	PIEL1	Cuerpo	NIVEA	200	20826
PC	PIEL1	Cuerpo	NIVEA	400	20680
PC	CABELLO	Tratamiento Fem	NIVEA	200	20952
PC	CABELLO	Tratamiento Fem	NIVEA	200	20977
PC	CABELLO	Tratamiento Fem	NIVEA	200	20969
PC	CABELLO	Tratamiento Fem	NIVEA	350	21294
PC	CABELLO	Tratamiento Fem	NIVEA	350	21094
PC	CABELLO	Tratamiento Fem	NIVEA	350	20755
PC	CABELLO	Tratamiento Fem	NIVEA	350	20718
PC	CABELLO	Tratamiento Fem	NIVEA	15	21260
PC	CABELLO	Tratamiento Fem	NIVEA	350	20776
PC	DEOS	Aero	NIVEA	89	20410
PC	DEOS	Aero	NIVEA	89	21115
PC	DEOS	Aero	NIVEA	89	21082
PC	DEOS	Aero	NIVEA	89	20569
PC	DEOS	Aero	NIVEA	89	20679
PC	DEOS	Aero	NIVEA	89	20315
PC	DEOS	Aero	NIVEA	89	20720
PC	DEOS	Aero	NIVEA	89	20122
PC	DEOS	Aero	NIVEA	89	20359
PC	DEOS	Aero	NIVEA	89	20453
PC	DEOS	Aero	NIVEA	89	20349
PC	DEOS	Aero	NIVEA	90	20924
PC	DEOS	RollOn	NIVEA	50	20967
PC	DEOS	RollOn	NIVEA	50	21035
PC	DEOS	RollOn	NIVEA	50	21214
PC	DEOS	RollOn	NIVEA	50	20887
PC	DEOS	RollOn	NIVEA	50	20777
PC	DEOS	RollOn	NIVEA	50	20697
PC	DEOS	RollOn	NIVEA	50	20839
PC	DEOS	RollOn	NIVEA	50	20807
PC	DEOS	RollOn	NIVEA	50	20973
PC	DEOS	RollOn	NIVEA	50	20908
PC	DEOS	RollOn	NIVEA	50	20913
PC	DEOS	RollOn	NIVEA	50	20326
PC	DEOS	RollOn	NIVEA	50	20954
PC	DEOS	Barra	NIVEA	50	21084
PC	DEOS	Barra	NIVEA	50	21109
PC	DEOS	Stick	NIVEA	50	21171
PC	DEOS	Stick	NIVEA	50	21008
PC	DEOS	Stick	NIVEA	50	20637
PC	PIEL1	Limpieza Cara	NIVEA	100	21153
PC	PIEL1	Limpieza Cara	NIVEA	100	21168
PC	PIEL1	Limpieza Cara	NIVEA	100	21159
PC	PIEL2	Liquido	NIVEA	250	20864
PC	PIEL2	Liquido	NIVEA	220	20419
PC	PIEL2	Barra	NIVEA	90	20058
PC	PIEL2	Barra	NIVEA	350	20619
PC	PIEL2	Barra	NIVEA	90	20283
PC	PIEL2	Barra	NIVEA	90	20486
PC	PIEL2	Liquido	NIVEA	250	20892
PC	PIEL2	Liquido	NIVEA	250	21013
PC	PIEL2	Liquido	NIVEA	250	20874
PC	PIEL2	Liquido	NIVEA	250	20788
PC	PIEL2	Liquido	NIVEA	250	21107
PC	PIEL2	Liquido	NIVEA	220	21004
PC	PIEL2	Liquido	NIVEA	250	21021
PC	PIEL2	Liquido	NIVEA	250	21006
PC	PIEL2	Barra	NIVEA	90	20896
PC	PIEL2	Barra	NIVEA	90	20488
PC	PIEL2	Barra	NIVEA	90	20711
PC	PIEL1	Cara	NIVEA	250	21267
PC	PIEL1	Cuerpo	NIVEA	470	21252
PC	PIEL1	Cuerpo	NIVEA	200	21269
PC	DEOS	Aero	NIVEA	89	20605
PC	CABELLO	Tratamiento Masc	NIVEA	300	20942
PC	CABELLO	Tratamiento Masc	NIVEA	300	20899
PC	CABELLO	Tratamiento Masc	NIVEA	300	21060
PC	DEOS	Aero	NIVEA	89	20500
PC	PIEL2	Jabon Barba	NIVEA	90	20775
PC	DEOS	Aero	NIVEA	70	21243
PC	DEOS	Aero	NIVEA	89	20744
PC	DEOS	Aero	NIVEA	89	20639
PC	DEOS	Aero	NIVEA	150	20932
PC	PIEL2	Barra	NIVEA	90	20782
PC	CABELLO	POST WASH	NIVEA	100	21130
PC	CABELLO	SHAMPOO	NIVEA	400	20628
PC	CABELLO	SHAMPOO	NIVEA	200	20784
PC	CABELLO	SHAMPOO	NIVEA	200	20914
PC	CABELLO	SHAMPOO	NIVEA	400	20857
PC	CABELLO	SHAMPOO	NIVEA	200	20789
PC	CABELLO	SHAMPOO	NIVEA	200	20819
PC	CABELLO	SHAMPOO	NIVEA	400	20690
PC	CABELLO	SHAMPOO	NIVEA	400	20686
PC	CABELLO	SHAMPOO	NIVEA	750	20704
PC	CABELLO	SHAMPOO	NIVEA	200	20400
PC	CABELLO	SHAMPOO	NIVEA	400	20275
PC	CABELLO	SHAMPOO	NIVEA	200	20837
PC	CABELLO	SHAMPOO	NIVEA	400	20710
PC	CABELLO	NUTRICION	NIVEA	200	20541
PC	CABELLO	NUTRICION	NIVEA	400	20351
PC	CABELLO	SHAMPOO	NIVEA	200	20365
PC	CABELLO	SHAMPOO	NIVEA	400	20244
PC	CABELLO	SHAMPOO	NIVEA	400	20791
PC	CABELLO	SHAMPOO	NIVEA	750	20406
PC	CABELLO	SHAMPOO	NIVEA	750	20938
PC	CABELLO	SHAMPOO	NIVEA	400	20861
PC	CABELLO	SHAMPOO	NIVEA	200	20880
PC	CABELLO	SHAMPOO	NIVEA	400	20747
PC	CABELLO	SHAMPOO	NIVEA	10	20894
PC	CABELLO	SHAMPOO	NIVEA	180	20334
PC	CABELLO	SHAMPOO	NIVEA	750	20829
PC	CABELLO	SHAMPOO	NIVEA	200	20309
PC	CABELLO	SHAMPOO	NIVEA	400	20189
PC	CABELLO	SHAMPOO	NIVEA	750	20342
PC	CABELLO	SHAMPOO	NIVEA	930	21177
PC	CABELLO	SHAMPOO	NIVEA	200	20529
PC	CABELLO	SHAMPOO	NIVEA	400	20397
PC	CABELLO	SHAMPOO	NIVEA	750	20767
PC	CABELLO	SHAMPOO	NIVEA	200	20900
PC	CABELLO	SHAMPOO	NIVEA	400	20688
PC	CABELLO	SHAMPOO	NIVEA	750	20911
PC	CABELLO	SHAMPOO	NIVEA	400	20615
PC	CABELLO	SHAMPOO	NIVEA	400	20377
PC	CABELLO	SHAMPOO	NIVEA	180	20671
PC	CABELLO	SHAMPOO	NIVEA	200	20573
PC	CABELLO	SHAMPOO	NIVEA	200	20779
PC	CABELLO	SHAMPOO	NIVEA	400	20298
PC	CABELLO	SHAMPOO	NIVEA	750	20888
PC	CABELLO	SHAMPOO	NIVEA	400	20621
PC	CABELLO	SHAMPOO	NIVEA	400	20584
PC	CABELLO	SHAMPOO	NIVEA	400	20968
PC	CABELLO	Tratamiento Fem	NIVEA	150	21189
PC	CABELLO	Tratamiento Fem	NIVEA	170	20997
PC	CABELLO	Tratamiento Fem	NIVEA	170	20902
PC	CABELLO	Tratamiento Fem	NIVEA	170	21145
PC	CABELLO	Tratamiento Fem	NIVEA	350	20832
HC	ROPA LAVADO	Liquido	ROPEX1	3000	20104
HC	ROPA LAVADO	Liquido	ROPEX1	1500	20333
HC	ROPA LAVADO	Liquido	ROPEX1	1500	20247
HC	ROPA LAVADO	Liquido	ROPEX1	400	20236
HC	PROFESIONAL	INDUSTRIAL	ROPEX1	5000	20262
HC	ROPA LAVADO	Liquido	ROPEX1	3000	20151
HC	ROPA LAVADO	Liquido	ROPEX1	3000	20009
HC	ROPA LAVADO	Liquido	ROPEX1	800	20015
HC	ROPA LAVADO	Polvo	ROPEX1	800	20141
HC	ROPA LAVADO	Polvo	ROPEX1	400	20091
HC	ROPA LAVADO	Polvo	ROPEX1	800	20067
HC	ROPA LAVADO	Polvo	ROPEX1	3000	20028
HC	ROPA LAVADO	Polvo	ROPEX1	400	20069
HC	ROPA LAVADO	Polvo	ROPEX1	800	20038
HC	ROPA LAVADO	Polvo	ROPEX1	5000	20064
HC	PROFESIONAL	INDUSTRIAL	ROPEX1	10000	20203
HC	ROPA LAVADO	Polvo	ROPEX1	3000	20083
HC	ROPA LAVADO	Polvo	ROPEX1	800	20115
HC	ROPA LAVADO	Polvo	ROPEX1	800	20066
HC	ROPA LAVADO	Polvo	ROPEX1	400	20113
HC	ROPA LAVADO	Polvo	ROPEX1	400	20071
HC	ROPA LAVADO	Polvo	ROPEX1	3000	20072
FOODS	ADEREZOS	Ketchup	MAYOS3	240	20158
FOODS	ADEREZOS	Mayonesa	MAYOS3	240	20116
FOODS	ADEREZOS	Mayonesa	MAYOS3	475	20084
FOODS	ADEREZOS	Mayonesa	MAYOS3	950	20121
FOODS	ADEREZOS	Mayonesa	MAYOS3	120	20227
FOODS	ADEREZOS	Mostaza	MAYOS3	240	20232
FOODS	ADEREZOS	Salsa Golf	MAYOS3	240	20224
HC	ROPA LAVADO	Liquido	ROPEX2	3000	20032
HC	ROPA LAVADO	Liquido	ROPEX2	800	20089
HC	ROPA LAVADO	Liquido	ROPEX2	800	20210
HC	ROPA LAVADO	Liquido	ROPEX2	3000	20127
HC	ROPA LAVADO	Liquido	ROPEX2	4000	20149
HC	ROPA LAVADO	Polvo	ROPEX2	5000	20128
HC	ROPA ACONDICIONADOR	Diluido	ROPEX2	4000	20260
HC	ROPA ACONDICIONADOR	Diluido	ROPEX2	800	20172
FOODS	ADEREZOS	Mayonesa	NATURA	240	20580
FOODS	ADEREZOS	Mayonesa	NATURA	500	20547
FOODS	ADEREZOS	Ketchup	NATURA	375	21020
FOODS	ADEREZOS	Ketchup	NATURA	240	20033
FOODS	ADEREZOS	Ketchup	NATURA	500	20095
FOODS	ADEREZOS	Ketchup	NATURA	60	20119
FOODS	ADEREZOS	Ketchup	NATURA	400	20242
FOODS	ADEREZOS	Ketchup	NATURA	250	20728
FOODS	ADEREZOS	Ketchup	NATURA	375	20806
FOODS	ADEREZOS	Mayonesa	NATURA	250	20440
FOODS	ADEREZOS	Mayonesa	NATURA	240	20554
FOODS	ADEREZOS	Mayonesa	NATURA	500	20494
FOODS	ADEREZOS	Mayonesa	NATURA	500	20645
FOODS	ADEREZOS	Mayonesa	NATURA	350	20683
FOODS	ADEREZOS	Mayonesa	NATURA	240	20108
FOODS	ADEREZOS	Mayonesa	NATURA	475	20046
FOODS	ADEREZOS	Mayonesa	NATURA	950	20118
FOODS	ADEREZOS	Mayonesa	NATURA	120	20384
FOODS	ADEREZOS	Mayonesa	NATURA	330	20454
FOODS	ADEREZOS	Mayonesa	NATURA	240	20396
FOODS	ADEREZOS	Mayonesa	NATURA	475	20399
FOODS	ADEREZOS	Mayonesa	NATURA	230	20459
FOODS	ADEREZOS	Mayonesa	NATURA	500	20522
